EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.
MT982169	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MN335246	Maljkovic Berry,I., Rutvisuttinunt,W., Figueroa,K., Srikanth,A. and Jarman,R.G.
MT982922	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MN577555	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577556	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577557	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577558	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MT261976	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261967	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261953	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261968	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261977	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261972	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261956	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261957	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261958	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261959	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261960	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261965	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261951	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261964	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261962	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261963	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261961	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261978	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261969	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MW243050	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MT261979	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261954	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261970	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261971	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261966	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
